 ≈  almost equal to                              	
 ∠  angle                                        	
 ∗  asterisk operator                            	
 ≃  asymptotically equal to                      	
 ✗  ballot x                                     	
 ➤  black rightwards arrowhead                   	
 ■  black square                                 	
 ⎵  bottom square bracket                        	
 ✓  check mark                                   	
 ⊕  circled plus                                 	
 ⊗  circled times                                	
 ≔  colon equals                                 	
 𝐱̂  combining circumflex accent                  	
 𝐱̈  combining diaeresis                          	
 𝐱̇  combining dot above                          	
 𝐱͠  combining double tilde                       	
 𝐱⃝  combining enclosing circle                   	
 𝐱⃞  combining enclosing square                   	
 𝐱⃖  combining left arrow above                   	
 𝐱⃐  combining left harpoon above                 	
 𝐱̅  combining overline                           	
 𝐱⃗  combining right arrow above                  	
 𝐱⃑  combining right harpoon above                	
 𝐱⃛  combining three dots above                   	
 𝐱̃  combining tilde                              	
 𝐱̽  combining x above                            	
 ∮  contour integral                             	
 †  dagger                                       	
 ∤  does not divide                              	
 ⋅  dot operator                                 	
 ‡  double dagger                                	
 ∬  double integral                              	
 ℂ  double-struck capital c                      	
 ℍ  double-struck capital h                      	
 ℕ  double-struck capital n                      	
 ℙ  double-struck capital p                      	
 ℚ  double-struck capital q                      	
 ℝ  double-struck capital r                      	
 ℤ  double-struck capital z                      	
 ⅅ  double-struck italic capital d               	
 ⅆ  double-struck italic small d                 	
 ⅇ  double-struck italic small e                 	
 ⅈ  double-struck italic small i                 	
 ⅉ  double-struck italic small j                 	
 ℼ  double-struck small pi                       	
 ⊤  down tack                                    	
 ↓  downwards arrow                              	
 ↵  downwards arrow with corner leftwards        	
 ⇟  downwards arrow with double stroke           	
 ⭣  downwards triangle-headed arrow              	
 ∈  element of                                   	
 ∅  empty set                                    	
 –  en dash                                      	
 ≝  equal to by definition                       	
 =        equals sign                                  	
 ⌫  erase to the left                            	
 ∀  for all                                      	
 ＋  fullwidth plus sign                          	
 ≥  greater-than or equal to                     	
 Δ    greek capital letter delta                   	
 Γ    greek capital letter gamma                   	
 Λ    greek capital letter lamda                   	
 Ω    greek capital letter omega                   	
 Φ    greek capital letter phi                     	
 Π    greek capital letter pi                      	
 Ψ    greek capital letter psi                     	
 Σ    greek capital letter sigma                   	
 Θ    greek capital letter theta                   	
 Υ    greek capital letter upsilon                 	
 Ξ    greek capital letter xi                      	
 α    greek small letter alpha                     	
 β    greek small letter beta                      	
 χ    greek small letter chi                       	
 δ    greek small letter delta                     	
 ε    greek small letter epsilon                   	
 η    greek small letter eta                       	
 γ    greek small letter gamma                     	
 ι    greek small letter iota                      	
 κ    greek small letter kappa                     	
 λ    greek small letter lamda                     	
 μ    greek small letter mu                        	
 ν    greek small letter nu                        	
 ω    greek small letter omega                     	
 φ    greek small letter phi                       	
 π    greek small letter pi                        	
 ψ    greek small letter psi                       	
 ρ    greek small letter rho                       	
 σ    greek small letter sigma                     	
 τ    greek small letter tau                       	
 θ    greek small letter theta                     	
 υ    greek small letter upsilon                   	
 ξ    greek small letter xi                        	
 ζ    greek small letter zeta                      	
 ᵦ  greek subscript small letter beta            	
 ᵧ  greek subscript small letter gamma           	
 …  horizontal ellipsis                          	
 ≡  identical to                                 	
 ∞  infinity                                     	
 ∫  integral                                     	
 ∩  intersection                                 	
 ᵢ  latin subscript small letter i               	
 ⱼ  latin subscript small letter j               	
 ᵤ  latin subscript small letter u               	
 ᵥ  latin subscript small letter v               	
 ⇔  left right double arrow                      	
